SPO#;CP_Bang;CP_GiayPhep;CP_VanChuyen;CP_VatTu;CP_Khac;CP_NhanCong;Total_Cost;ten_loai_bang_hieu;SPO_brand;Request Date;OutletID;Type;Requester;Outlet Name;status_SPO;Signage Class;Supplier;SS/SE;Sales Rep;item_bang_hiflex;item_bat_tha_hiflex;item_canopy;item_hop_den_hiflex;item_led_logo;item_bat_hiflex;item_tranh_dien;item_emblem;item_led;item_bang;item_standard;status_SPO;Area;Region;ASM Approve;SR Accepted Date;Budget;Complete/In progress;ASM Status;Pending At;Warchest/AP
1;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;02/01/2026;1;New Signage Request;Nguyen Anh Nam;BAY THUC;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
2;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;02/01/2026;2;New Signage Request;Nguyen Anh Nam;VINH TUAN;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
3;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;02/01/2026;3;New Signage Request;Nguyen Anh Nam;CONG TUONG 2;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
4;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;02/01/2026;4;New Signage Request;Nguyen Anh Nam;NGUYET TUNG;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
5;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;02/01/2026;5;New Signage Request;Nguyen Anh Nam;MUOI DIEU;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
6;2698000;0;0;751500;0;0;3449500;hop den hiflex 2 mat ngoai troi day du;Larue;02/01/2026;6;New Signage Request;Nguyen Anh Nam;THU THAO;Area Sales Manager Approved (MOA ASM);Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;0;0;0;1;0;0;0;0;0;1;1;Area Sales Manager Approved (MOA ASM);Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
7;1535000;250000;0;2614000;0;0;4399000;bang hieu hiflex 1 mat ngoai troi;Larue;02/01/2026;7;New Signage Request;Nguyen Anh Nam;THIEN HUONG;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
8;1535000;250000;0;2614000;0;0;4399000;bang hieu hiflex 1 mat ngoai troi;Larue;02/01/2026;8;New Signage Request;Nguyen Anh Nam;BINH THAI;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
9;1842000;250000;0;2919000;0;0;5011000;bang hieu hiflex 1 mat ngoai troi;Larue;02/01/2026;9;New Signage Request;Nguyen Anh Nam;THU VY;Sales Rep Checked Variation;Standard;Công ty TNHH MTV Quảng Cáo Phước Tiến;Nguyen Duc Hoa;Nguyen Anh Nam;1;0;0;0;0;0;0;0;0;1;1;Sales Rep Checked Variation;Quang Nam 2;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;nha ve;AP
10;0;250000;0;916000;0;0;1166000;;Larue;02/01/2026;10;New Signage Request;Hoang Duong Tan;TH MINI MART (DSM);Area Sales Manager Approved...;Standard;Công ty TNHH MTV QC và trang trí nội ngoại thất Ngọc Lý;Vo Hong Quang;Hoang Duong Tan;0;0;0;0;0;1;0;0;0;1;1;Area Sales Manager Approved...;Da Nang 3;Central Mid; 15/01/2026;;100%_LME2026_LME2026_1_Sales Dept;In progress;ASM approve;Sale team;AP
